Field number,Magnitude 7,Magnitude 10,Magnitude 13,SD 7,SD 10,SD 13
Zemax/Field1.tsv,0.284171,0.210801,4.50282,0.104969,0.0997163,0.692819,
Zemax/Field2.tsv,0.289557,0.219345,4.15842,0.104451,0.0829947,0.395433,
Zemax/Field3.tsv,0.342041,0.15579,44.507,0.112888,0.0885009,3.91678,
Zemax/Field4.tsv,0.288652,0.183761,4.23722,0.0770312,0.0801386,0.721324,
Zemax/Field5.tsv,0.396595,0.372627,40.9836,0.109534,0.082596,4.1219,
Zemax/Field6.tsv,0.273663,0.160023,44.4858,0.126597,0.0879724,4.75411,
Zemax/Field7.tsv,0.362968,0.401547,43.354,0.0633539,0.103339,2.53289,
Zemax/Field8.tsv,0.401859,0.410331,43.6807,0.0932888,0.100499,4.08861,
Zemax/Field9.tsv,0.278207,0.173006,43.6574,0.0783362,0.0765702,4.61349,
Zemax/Field10.tsv,45.5251,45.2999,45.536,0.520744,0.465147,0.492333,
Zemax/Field11.tsv,0.460237,0.465249,44.9944,0.0976688,0.107903,4.90596,
Zemax/Field12.tsv,0.347097,0.210477,3.97238,0.0805355,0.0662556,0.946437,
Zemax/Field13.tsv,0.657377,1.10975,46.862,0.155423,0.169176,6.1925,
Zemax/Field14.tsv,0.396078,0.331485,43.158,0.0982492,0.153358,4.94906,
Zemax/Field15.tsv,0.471469,0.420877,44.2087,0.0978186,0.0931927,5.69277,
Zemax/Field16.tsv,0.808674,1.82568,42.6096,0.102007,0.24113,4.58069,
Zemax/Field17.tsv,0.765126,1.63159,43.5761,0.133509,0.240266,3.62433,
