Telescope setup name: Twinkle Exposure Time: 1.0000 s
magB; magV; magR; fwhm_x; fwhm_y; stdev_x; stdev_y 
+8.0000; +8.0000; +8.0000; +1.0000; +1.0000; +0.0065; +0.0065 
+8.0000; +8.0000; +8.0000; +1.5000; +1.5000; +0.0032; +0.0035 
+8.0000; +8.0000; +8.0000; +2.0000; +2.0000; +0.0030; +0.0026 
+8.0000; +8.0000; +8.0000; +2.5000; +2.5000; +0.0025; +0.0019 
+8.0000; +8.0000; +8.0000; +3.0000; +3.0000; +0.0020; +0.0020 
+8.0000; +8.0000; +8.0000; +3.5000; +3.5000; +0.0024; +0.0021 
+8.0000; +8.0000; +8.0000; +4.0000; +4.0000; +0.0019; +0.0025 
+8.0000; +8.0000; +8.0000; +4.5000; +4.5000; +0.0026; +0.0024 
+8.0000; +8.0000; +8.0000; +5.0000; +5.0000; +0.0025; +0.0025 
+8.0000; +8.0000; +8.0000; +5.5000; +5.5000; +0.0024; +0.0030 
+8.0000; +8.0000; +8.0000; +6.0000; +6.0000; +0.0029; +0.0032 
+8.0000; +8.0000; +8.0000; +6.5000; +6.5000; +0.0033; +0.0029 
+8.0000; +8.0000; +8.0000; +7.0000; +7.0000; +0.0040; +0.0037 
+8.0000; +8.0000; +8.0000; +7.5000; +7.5000; +0.0040; +0.0034 
+8.0000; +8.0000; +8.0000; +8.0000; +8.0000; +0.0042; +0.0039 
+8.0000; +8.0000; +8.0000; +8.5000; +8.5000; +0.0040; +0.0045 
+8.0000; +8.0000; +8.0000; +9.0000; +9.0000; +0.0040; +0.0042 
+8.0000; +8.0000; +8.0000; +9.5000; +9.5000; +0.0054; +0.0042 
+8.0000; +8.0000; +8.0000; +10.0000; +10.0000; +0.0058; +0.0052 
+8.0000; +8.0000; +8.0000; +10.5000; +10.5000; +0.0051; +0.0047 
+8.0000; +8.0000; +8.0000; +11.0000; +11.0000; +0.0057; +0.0056 
+8.5000; +8.5000; +8.5000; +1.0000; +1.0000; +0.0062; +0.0072 
+8.5000; +8.5000; +8.5000; +1.5000; +1.5000; +0.0037; +0.0043 
+8.5000; +8.5000; +8.5000; +2.0000; +2.0000; +0.0030; +0.0031 
+8.5000; +8.5000; +8.5000; +2.5000; +2.5000; +0.0027; +0.0026 
+8.5000; +8.5000; +8.5000; +3.0000; +3.0000; +0.0023; +0.0026 
+8.5000; +8.5000; +8.5000; +3.5000; +3.5000; +0.0029; +0.0027 
+8.5000; +8.5000; +8.5000; +4.0000; +4.0000; +0.0028; +0.0029 
+8.5000; +8.5000; +8.5000; +4.5000; +4.5000; +0.0035; +0.0029 
+8.5000; +8.5000; +8.5000; +5.0000; +5.0000; +0.0035; +0.0030 
+8.5000; +8.5000; +8.5000; +5.5000; +5.5000; +0.0036; +0.0039 
+8.5000; +8.5000; +8.5000; +6.0000; +6.0000; +0.0037; +0.0038 
+8.5000; +8.5000; +8.5000; +6.5000; +6.5000; +0.0046; +0.0044 
+8.5000; +8.5000; +8.5000; +7.0000; +7.0000; +0.0045; +0.0043 
+8.5000; +8.5000; +8.5000; +7.5000; +7.5000; +0.0054; +0.0049 
+8.5000; +8.5000; +8.5000; +8.0000; +8.0000; +0.0058; +0.0042 
+8.5000; +8.5000; +8.5000; +8.5000; +8.5000; +0.0054; +0.0055 
+8.5000; +8.5000; +8.5000; +9.0000; +9.0000; +0.0062; +0.0053 
+8.5000; +8.5000; +8.5000; +9.5000; +9.5000; +0.0059; +0.0077 
+8.5000; +8.5000; +8.5000; +10.0000; +10.0000; +0.0064; +0.0062 
+8.5000; +8.5000; +8.5000; +10.5000; +10.5000; +0.0074; +0.0069 
+8.5000; +8.5000; +8.5000; +11.0000; +11.0000; +0.0067; +0.0077 
+9.0000; +9.0000; +9.0000; +1.0000; +1.0000; +0.0059; +0.0062 
+9.0000; +9.0000; +9.0000; +1.5000; +1.5000; +0.0040; +0.0048 
+9.0000; +9.0000; +9.0000; +2.0000; +2.0000; +0.0036; +0.0034 
+9.0000; +9.0000; +9.0000; +2.5000; +2.5000; +0.0030; +0.0033 
+9.0000; +9.0000; +9.0000; +3.0000; +3.0000; +0.0035; +0.0037 
+9.0000; +9.0000; +9.0000; +3.5000; +3.5000; +0.0040; +0.0037 
+9.0000; +9.0000; +9.0000; +4.0000; +4.0000; +0.0036; +0.0039 
+9.0000; +9.0000; +9.0000; +4.5000; +4.5000; +0.0047; +0.0039 
+9.0000; +9.0000; +9.0000; +5.0000; +5.0000; +0.0045; +0.0049 
+9.0000; +9.0000; +9.0000; +5.5000; +5.5000; +0.0054; +0.0049 
+9.0000; +9.0000; +9.0000; +6.0000; +6.0000; +0.0052; +0.0051 
+9.0000; +9.0000; +9.0000; +6.5000; +6.5000; +0.0055; +0.0060 
+9.0000; +9.0000; +9.0000; +7.0000; +7.0000; +0.0064; +0.0060 
+9.0000; +9.0000; +9.0000; +7.5000; +7.5000; +0.0066; +0.0067 
+9.0000; +9.0000; +9.0000; +8.0000; +8.0000; +0.0072; +0.0063 
+9.0000; +9.0000; +9.0000; +8.5000; +8.5000; +0.0076; +0.0072 
+9.0000; +9.0000; +9.0000; +9.0000; +9.0000; +0.0080; +0.0075 
+9.0000; +9.0000; +9.0000; +9.5000; +9.5000; +0.0086; +0.0073 
+9.0000; +9.0000; +9.0000; +10.0000; +10.0000; +0.0086; +0.0076 
+9.0000; +9.0000; +9.0000; +10.5000; +10.5000; +0.0092; +0.0090 
+9.0000; +9.0000; +9.0000; +11.0000; +11.0000; +0.0100; +0.0075 
+9.5000; +9.5000; +9.5000; +1.0000; +1.0000; +0.0085; +0.0087 
+9.5000; +9.5000; +9.5000; +1.5000; +1.5000; +0.0053; +0.0054 
+9.5000; +9.5000; +9.5000; +2.0000; +2.0000; +0.0048; +0.0044 
+9.5000; +9.5000; +9.5000; +2.5000; +2.5000; +0.0051; +0.0047 
+9.5000; +9.5000; +9.5000; +3.0000; +3.0000; +0.0050; +0.0053 
+9.5000; +9.5000; +9.5000; +3.5000; +3.5000; +0.0054; +0.0046 
+9.5000; +9.5000; +9.5000; +4.0000; +4.0000; +0.0053; +0.0053 
+9.5000; +9.5000; +9.5000; +4.5000; +4.5000; +0.0057; +0.0059 
+9.5000; +9.5000; +9.5000; +5.0000; +5.0000; +0.0063; +0.0063 
+9.5000; +9.5000; +9.5000; +5.5000; +5.5000; +0.0063; +0.0067 
+9.5000; +9.5000; +9.5000; +6.0000; +6.0000; +0.0073; +0.0071 
+9.5000; +9.5000; +9.5000; +6.5000; +6.5000; +0.0074; +0.0082 
+9.5000; +9.5000; +9.5000; +7.0000; +7.0000; +0.0096; +0.0079 
+9.5000; +9.5000; +9.5000; +7.5000; +7.5000; +0.0098; +0.0085 
+9.5000; +9.5000; +9.5000; +8.0000; +8.0000; +0.0091; +0.0102 
+9.5000; +9.5000; +9.5000; +8.5000; +8.5000; +0.0102; +0.0090 
+9.5000; +9.5000; +9.5000; +9.0000; +9.0000; +0.0104; +0.0108 
+9.5000; +9.5000; +9.5000; +9.5000; +9.5000; +0.0113; +0.0104 
+9.5000; +9.5000; +9.5000; +10.0000; +10.0000; +0.0114; +0.0107 
+9.5000; +9.5000; +9.5000; +10.5000; +10.5000; +0.0126; +0.0126 
+9.5000; +9.5000; +9.5000; +11.0000; +11.0000; +0.0130; +0.0106 
+10.0000; +10.0000; +10.0000; +1.0000; +1.0000; +0.0097; +0.0095 
+10.0000; +10.0000; +10.0000; +1.5000; +1.5000; +0.0073; +0.0063 
+10.0000; +10.0000; +10.0000; +2.0000; +2.0000; +0.0076; +0.0077 
+10.0000; +10.0000; +10.0000; +2.5000; +2.5000; +0.0064; +0.0073 
+10.0000; +10.0000; +10.0000; +3.0000; +3.0000; +0.0075; +0.0078 
+10.0000; +10.0000; +10.0000; +3.5000; +3.5000; +0.0076; +0.0076 
+10.0000; +10.0000; +10.0000; +4.0000; +4.0000; +0.0079; +0.0080 
+10.0000; +10.0000; +10.0000; +4.5000; +4.5000; +0.0097; +0.0080 
+10.0000; +10.0000; +10.0000; +5.0000; +5.0000; +0.0099; +0.0091 
+10.0000; +10.0000; +10.0000; +5.5000; +5.5000; +0.0095; +0.0096 
+10.0000; +10.0000; +10.0000; +6.0000; +6.0000; +0.0106; +0.0099 
+10.0000; +10.0000; +10.0000; +6.5000; +6.5000; +0.0103; +0.0116 
+10.0000; +10.0000; +10.0000; +7.0000; +7.0000; +0.0116; +0.0125 
+10.0000; +10.0000; +10.0000; +7.5000; +7.5000; +0.0145; +0.0136 
+10.0000; +10.0000; +10.0000; +8.0000; +8.0000; +0.0137; +0.0135 
+10.0000; +10.0000; +10.0000; +8.5000; +8.5000; +0.0132; +0.0140 
